Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0289043,2019-08-02,2019-08-02,,"28 Days Later","28 Days Later",https://www.imdb.com/title/tt0289043/,Movie,7.5,113,2002,"Drama, Horror, Sci-Fi, Thriller",533539,2003-06-27,"Danny Boyle",6,2018-04-08
2,tt0078748,2019-06-19,2019-06-19,,"Alien","Alien",https://www.imdb.com/title/tt0078748/,Movie,8.5,117,1979,"Horror, Sci-Fi",1052081,1979-06-22,"Ridley Scott",10,2018-04-08
3,tt2316204,2019-08-05,2019-08-05,,"Alien: Covenant","Alien: Covenant",https://www.imdb.com/title/tt2316204/,Movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",341225,2017-05-19,"Ridley Scott",7,2019-06-19
4,tt2473750,2019-08-02,2019-08-02,,"Among the Living","Aux yeux des vivants",https://www.imdb.com/title/tt2473750/,Movie,5.5,90,2014,"Horror, Thriller",2704,2014-04-30,"Alexandre Bustillo, Julien Maury",6,2019-08-02
5,tt0090605,2019-08-05,2019-08-05,,"Aliens","Aliens",https://www.imdb.com/title/tt0090605/,Movie,8.4,137,1986,"Action, Adventure, Horror, Sci-Fi, Thriller",833401,1986-07-18,"James Cameron",8,2019-08-05
6,tt0437857,2019-04-26,2019-04-26,,"Behind the Mask: The Rise of Leslie Vernon","Behind the Mask: The Rise of Leslie Vernon",https://www.imdb.com/title/tt0437857/,Movie,6.7,92,2006,"Comedy, Horror, Thriller",26904,2006-10-13,"Scott Glosserman",7,2018-04-08
7,tt2737304,2019-08-05,2019-08-05,,"Bird Box","Bird Box",https://www.imdb.com/title/tt2737304/,Movie,6.6,124,2018,"Horror, Mystery, Sci-Fi",417336,2018-12-21,"Susanne Bier",7,2019-02-03
8,tt1259521,2019-07-03,2019-07-03,,"The Cabin in the Woods","The Cabin in the Woods",https://www.imdb.com/title/tt1259521/,Movie,7.0,95,2011,"Horror, Mystery, Thriller",485668,2012-04-13,"Drew Goddard",8,2020-10-24
9,tt0057603,2019-06-18,2019-06-18,,"Black Sabbath","I tre volti della paura",https://www.imdb.com/title/tt0057603/,Movie,7.0,97,1963,"Horror",15683,1964-05-06,"Mario Bava",,
10,tt0185937,2019-08-02,2019-08-02,,"The Blair Witch Project","The Blair Witch Project",https://www.imdb.com/title/tt0185937/,Movie,6.5,81,1999,"Horror, Mystery",312367,1999-07-30,"Daniel Myrick, Eduardo Sánchez",8,2019-02-03
11,tt1060277,2019-08-02,2019-08-02,,"Cloverfield","Cloverfield",https://www.imdb.com/title/tt1060277/,Movie,7.0,85,2008,"Action, Horror, Sci-Fi, Thriller",441062,2008-01-18,"Matt Reeves",6,2019-06-19
12,tt0077402,2019-06-19,2019-06-19,,"Dawn of the Dead","Dawn of the Dead",https://www.imdb.com/title/tt0077402/,Movie,7.8,127,1978,"Horror, Thriller",135568,1979,"George A. Romero",9,2019-10-19
13,tt0104029,2019-04-26,2019-04-26,,"Cronos","Cronos",https://www.imdb.com/title/tt0104029/,Movie,6.7,94,1992,"Drama, Fantasy, Horror, Thriller",36017,1994-05,"Guillermo del Toro",,
14,tt0065669,2019-10-19,2019-10-19,,"The Dunwich Horror","The Dunwich Horror",https://www.imdb.com/title/tt0065669/,Movie,5.4,90,1970,"Horror",5840,1970-01-14,"Daniel Haller",,
15,tt0070047,2019-06-19,2019-06-19,,"The Exorcist","The Exorcist",https://www.imdb.com/title/tt0070047/,Movie,8.1,122,1973,"Horror",493514,1973-12-26,"William Friedkin",10,2018-04-08
16,tt0435625,2019-08-02,2019-08-02,,"The Descent","The Descent",https://www.imdb.com/title/tt0435625/,Movie,7.2,99,2005,"Adventure, Horror, Thriller",269135,2006-08-04,"Neil Marshall",9,2019-06-19
17,tt8228172,2019-10-04,2019-10-04,,"The Furies","The Furies",https://www.imdb.com/title/tt8228172/,Movie,5.4,82,2019,"Action, Horror, Thriller",6688,2019-11-07,"Tony D'Aquino",7,2020-10-24
18,tt5886046,2019-08-05,2019-08-05,,"Escape Room","Escape Room",https://www.imdb.com/title/tt5886046/,Movie,6.4,99,2019,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",157468,2019-01-04,"Adam Robitel",5,2020-10-24
19,tt5052448,2019-08-05,2019-08-05,,"Get Out","Get Out",https://www.imdb.com/title/tt5052448/,Movie,7.8,104,2017,"Horror, Mystery, Thriller",800139,2017-02-24,"Jordan Peele",9,2019-08-05
20,tt5308322,2019-08-05,2019-08-05,,"Happy Death Day","Happy Death Day",https://www.imdb.com/title/tt5308322/,Movie,6.6,96,2017,"Comedy, Horror, Mystery, Thriller",183194,2017-10-13,"Christopher Landon",7,2019-06-19
21,tt8329290,2019-07-03,2019-07-03,,"The Golem","The Golem",https://www.imdb.com/title/tt8329290/,Movie,5.5,95,2018,"Drama, Horror",6189,2019-02-01,"Doron Paz, Yoav Paz",7,2019-07-03
22,tt1502407,2019-08-05,2019-08-05,,"Halloween","Halloween",https://www.imdb.com/title/tt1502407/,Movie,6.5,106,2018,"Crime, Drama, Horror, Thriller",185181,2018-10-19,"David Gordon Green",5,2019-06-19
23,tt8155288,2019-08-05,2019-08-05,,"Happy Death Day 2U","Happy Death Day 2 U",https://www.imdb.com/title/tt8155288/,Movie,6.2,100,2019,"Comedy, Horror, Mystery, Sci-Fi, Thriller",94739,2019-02-13,"Christopher Landon",7,2019-06-19
24,tt7784604,2019-08-05,2019-08-05,,"Hereditary","Hereditary",https://www.imdb.com/title/tt7784604/,Movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",446333,2018-06-08,"Ari Aster",10,2023-05-21
25,tt0068713,2019-06-18,2019-06-18,,"Horror Express","Pánico en el Transiberiano",https://www.imdb.com/title/tt0068713/,Movie,6.5,88,1972,"Adventure, Horror, Sci-Fi, Thriller",14348,1974-01-03,"Eugenio Martín",7,2019-06-18
26,tt0338095,2019-04-26,2019-04-26,,"High Tension","Haute tension",https://www.imdb.com/title/tt0338095/,Movie,6.7,91,2003,"Horror",82380,2005-06-10,"Alexandre Aja",7,2022-10-26
27,tt0068732,2019-06-19,2019-06-19,,"Images","Images",https://www.imdb.com/title/tt0068732/,Movie,7.0,104,1972,"Drama, Horror, Mystery",8528,1972-12-18,"Robert Altman",8,2019-06-19
28,tt1139797,2019-06-19,2019-06-19,,"Let the Right One In","Låt den rätte komma in",https://www.imdb.com/title/tt1139797/,Movie,7.8,114,2008,"Drama, Fantasy, Horror, Romance",238363,2008-12-12,"Tomas Alfredson",10,2018-04-08
29,tt3235888,2019-08-02,2019-08-02,,"It Follows","It Follows",https://www.imdb.com/title/tt3235888/,Movie,6.8,100,2014,"Horror, Mystery, Thriller",295589,2015-03-13,"David Robert Mitchell",6,2020-10-24
30,tt4348012,2019-08-02,2019-08-02,,"Mayhem","Mayhem",https://www.imdb.com/title/tt4348012/,Movie,6.4,86,2017,"Action, Comedy, Horror, Thriller",29063,2017-11-10,"Joe Lynch",8,2019-08-02
31,tt0884328,2019-08-02,2019-08-02,,"The Mist","The Mist",https://www.imdb.com/title/tt0884328/,Movie,7.1,126,2007,"Horror, Sci-Fi, Thriller",369928,2007-11-21,"Frank Darabont",6,2019-06-19
32,tt0013442,2019-06-19,2019-06-19,,"Nosferatu: A Symphony of Horror","Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,Movie,7.8,94,1922,"Fantasy, Horror",122355,1922-12-19,"F.W. Murnau",8,2018-04-08
33,tt1183374,2019-04-26,2019-04-26,,"Pet","Pet",https://www.imdb.com/title/tt1183374/,Movie,5.7,94,2016,"Crime, Horror, Thriller",20267,2016-12-02,"Carles Torrens",5,2020-10-24
34,tt1179904,2019-08-02,2019-08-02,,"Paranormal Activity","Paranormal Activity",https://www.imdb.com/title/tt1179904/,Movie,6.3,86,2007,"Horror, Mystery",270215,2009-10-16,"Oren Peli",6,2019-10-23
35,tt0063350,2019-06-19,2019-06-19,,"Night of the Living Dead","Night of the Living Dead",https://www.imdb.com/title/tt0063350/,Movie,7.8,96,1968,"Horror, Thriller",149567,1968-10-04,"George A. Romero",10,2019-10-19
36,tt0054215,2019-06-19,2019-06-19,,"Psycho","Psycho",https://www.imdb.com/title/tt0054215/,Movie,8.5,109,1960,"Drama, Horror, Mystery, Thriller",778237,1960-09-08,"Alfred Hitchcock",10,2019-10-23
37,tt4954522,2019-08-02,2019-08-02,,"Raw","Grave",https://www.imdb.com/title/tt4954522/,Movie,6.9,99,2016,"Drama, Horror",95706,2017-03-15,"Julia Ducournau",7,2020-10-24
